raw_token,primary_code,secondary_codes,verified,freq,note
гаркшуда,accident.drowning,,yes,393,"гарқшуда = утонул/утопление. Прямое соответствие, вода подразумевается. High."
сели,nat.geo.mudflow,,yes,372,тадж. мн. от сел = сель. High.
"дожди, сели",nat.geo.mudflow,nat.meteo.downpour,yes,313,"Составное; правило сель>дождь: сель primary, дождь secondary. High."
землетрясение,nat.geophys.earthquake,,yes,265,Прямое соответствие. High.
оползень,nat.geo.landslide,,yes,203,Прямое соответствие. High.
дожди,nat.meteo.downpour,,yes,199,Дождь/ливень. High.
тарма,nat.geo.avalanche,,yes,196,тарма = лавина (по словарю). High.
подъем уровня воды,nat.hydro.flood,,yes,184,Подъём уровня воды → наводнение/подъём воды. High.
сел,nat.geo.mudflow,,yes,157,сел = сель. High.
ветер,nat.meteo.windstorm,,yes,137,Единственный ветровой код — сильный/ураганный ветер; запись как тип ЧС подразумевает поражающий фактор. High.
садамаи наклиёт,tech.transport.road,,yes,110,садамаи нақлиёт = транспортное происшествие; дефолт — ДТП/дорога. High.
сухтор,tech.fire_explosion,,yes,84,По правилу сухтор без контекста = бытовой пожар. Нет пометки лес/природа → не nat.fire. Medium.
СЕЛ,nat.geo.mudflow,,yes,79,Сель (капс). High.
лавина,nat.geo.avalanche,,yes,73,Прямое соответствие. High.
ТАРМА,nat.geo.avalanche,,yes,67,тарма = лавина (капс). High.
Гаркшави,accident.drowning,,yes,65,Гарқшавӣ = утопление. High.
снегопады,nat.meteo.snowfall,,yes,64,Снегопад (мн.). High.
Гарқшавӣ,accident.drowning,,yes,62,Утопление (тадж.). High.
заминчунби,nat.geophys.earthquake,,yes,58,заминчунбӣ = землетрясение. High.
"снегопады, морозы",nat.meteo.snowfall,nat.meteo.frost,yes,53,"Составное без явной иерархии; снегопад как более разрушительный/основной фактор → primary, мороз → secondary. Проверил обратный вариант — менее обоснован. Medium."
"дожди, ветер",nat.meteo.downpour,nat.meteo.windstorm,yes,52,"Составное без явной иерархии; дождь перечислен первым → primary, ветер → secondary. Medium."
сангрез,nat.geo.rockfall,,yes,52,сангрез(а) = камнепад/обвал. High.
"дожди, поднятие уровня воды",nat.hydro.flood,nat.meteo.downpour,yes,51,"Составное; правило наводнение>дождь: наводнение primary, дождь secondary. High."
кушодани дарҳо,accident.other,,yes,49,"Букв. «открывание дверей» — неясный артефакт; по правилу primary = accident.other, гипотеза в note. Low."
Заминљунбї,nat.geophys.earthquake,,yes,48,Заминљунбӣ = землетрясение. High.
ҳодисаи нохуш,accident.other,,yes,43,несчастный случай → прочее происшествие (по словарю). High.
шамоли сахт,nat.meteo.windstorm,,yes,42,шамоли сахт = сильный ветер. High.
Заминларза,nat.geophys.earthquake,,yes,39,заминларза = землетрясение. High.
лавины,nat.geo.avalanche,,yes,38,Лавина (мн.). High.
"ходисаи нохуш, беэхтиёти",accident.other,,yes,36,"Несчастный случай + неосторожность — оба маппятся в accident.other, отдельного secondary нет. High."
БАЛАНДШАВИИ ОБ,nat.hydro.flood,,yes,35,баландшавии об = подъём воды → наводнение (капс). High.
"дождь, град, сель",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail,yes,33,"Составное; сель доминирует, дождь и град → secondary. Все компоненты учтены. High."
"дожди, град",nat.meteo.downpour,nat.meteo.hail,yes,32,"Составное без явной иерархии; дождь первым → primary, град → secondary. Medium."
высокие уровни воды,nat.hydro.flood,,yes,31,Высокие уровни воды → наводнение/подъём воды. High.
баландшавии сатҳи об,nat.hydro.flood,,yes,31,баландшавии сатҳи об = подъём уровня воды → наводнение. High.
засуха,nat.meteo.drought,,yes,30,Прямое соответствие. High.
"дожди, град, сели",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail,yes,28,"Составное; сель доминирует, дождь и град → secondary. High."
Землетрясение,nat.geophys.earthquake,,yes,28,Прямое соответствие. High.
ёфтани ҷасад,accident.other,,yes,27,"По правилу: обнаружение тела без указания воды → accident.other (не drowning), хотя возможен исход утопления. Medium."
