raw_token,kind,targets,note
РРП,region,TJ-RA,Районы республиканского подчинения (RRP) = TJ-RA
Хатлон,region,TJ-KT,Khatlon province = TJ-KT
Сугд,region,TJ-SU,Sughd province = TJ-SU
ГБАО,region,TJ-GB,Gorno-Badakhshan Autonomous Region = TJ-GB
ВМКБ,region,TJ-GB,ВМКБ = Вилояти Мухтори Кӯҳистони Бадахшон (Tajik for GBAO) = TJ-GB
в. Суғд,region,TJ-SU,вилояти Суғд = Sughd province = TJ-SU
НТҶ,region,TJ-RA,НТҶ = Ноҳияҳои тобеи ҷумҳурӣ = districts of republican subordination = TJ-RA
НТЧ,region,TJ-RA,НТЧ = variant spelling of НТҶ (republican subordination districts) = TJ-RA
в. Хатлон,region,TJ-KT,вилояти Хатлон = Khatlon province = TJ-KT
в. Сугд,region,TJ-SU,вилояти Сугд = Sughd province = TJ-SU
ш. Душанбе,city,TJ-DU,шаҳри Душанбе = city of Dushanbe = TJ-DU
шахри Душанбе,city,TJ-DU,city of Dushanbe = TJ-DU
Минтаќаи Рашт,zone,TJ-RA,"Rasht inter-district zone, parent TJ-RA"
РТ,national,,Республика Таджикистан = whole republic
ЧТ,national,,ЧТ = variant of ҶТ (Ҷумҳурии Тоҷикистон) = whole republic
В. Хатлон,region,TJ-KT,вилояти Хатлон = Khatlon province = TJ-KT
Минтаќаи Њисор,zone,TJ-RA,"Hisor inter-district zone, parent TJ-RA"
минтақаи Ҳисор,zone,TJ-RA,"Hisor inter-district zone, parent TJ-RA"
Душанбе,city,TJ-DU,Dushanbe city = TJ-DU
Шањри Душанбе,city,TJ-DU,city of Dushanbe = TJ-DU
Вилояти Суѓд,region,TJ-SU,Sughd province = TJ-SU
вилояти Суѓд,region,TJ-SU,Sughd province = TJ-SU
минтакаи Рашт,zone,TJ-RA,"Rasht inter-district zone, parent TJ-RA"
Афганистан,foreign,Afghanistan,Afghanistan (foreign)
минтаќаи Њисор,zone,TJ-RA,"Hisor inter-district zone, parent TJ-RA"
в.Сугд,region,TJ-SU,вилояти Сугд = Sughd province = TJ-SU
минтаќаи Рашт,zone,TJ-RA,"Rasht inter-district zone, parent TJ-RA"
