raw_token,kind,canonical_latin,targets,note
", ноњияи Љ.Балхи.",district,Rumi,Rumi,Љ.Балхи = Jaloliddini Balkhi = former Rumi/Kolkhozobod → canonical Rumi. Khatlon.
2 то,unknown,,,Junk count fragment ('2 то' = 2 units); no location.
Ёвон,district,Yovon,TJ-KT,"Yovon district, Khatlon. Confirmed."
Љумњурии Исломии Афѓонистон,foreign,,Afghanistan,Исламская Республика Афганистан. Верно.
Абдуњрамони Љомї.,district,Dzhami,,Abdurahmoni Jomi → canonical Dzhami; letters transposed in Абдуњрамони.
Айни,district,Ayni,TJ-SU,"Ayni district, Sughd. Confirmed."
"Айни, Гончи, Истаравшан",multi,,Ayni|Ghonchi|Istaravshan,Sughd districts. Correct.
"Айни, Шахристан",multi,,Ayni|Shahriston,Айни=Ayni; Шахристан=Шаҳристон=Shahriston. Confirmed.
Айнинский,district,Ayni,Ayni,Soviet adjective form Айнинский район=Ayni. Confirmed.
Анзоб,city,Ayni,,"Anzob is a settlement/mining jamoat within Ayni district, Sughd. Not a district itself, so kind=city with canonical=Ayni."
Анзоб«ский перевал,district,Ayni,Ayni,"Анзобский перевал (лавиноопасный); джамоат/кишлак Анзоб — в р-не Айни (Согд). Не админ-единица, отнесён к ближайшему району Ayni. Согласен, conf низкая."
Анзобский перевал,district,Ayni,TJ-SU,Anzob pass (Ayni/Varzob border) — attach to Ayni
Ашт,district,Asht,TJ-SU,"Asht district, Sughd. Confirmed."
Ашт/Ходжент/Кайракум,multi,,Asht|Ghafurov|TJ-SU,"Ходжент=Khujand→Ghafurov; Кайракум=Kayrakkum city (now Guliston, not a district)→TJ-SU; Asht is a district. Correct."
Балджувон,district,Baljuvon,TJ-KT,"Baljuvon district, Khatlon. Confirmed."
"Балджувон, Совет",multi,,Baljuvon|Temurmalik,Балджувон=Baljuvon; Совет=Советский→Temurmalik (историческое имя). Верно.
"Балджувон, Ховалинг, Восеъ",multi,,Baljuvon|Khovaling|Vose',Балджувон=Baljuvon; Ховалинг=Khovaling; Восеъ=Vose'. Confirmed.
Бохтар,district,Bokhtar,,Bokhtar есть в списке 58; без префикса — район приоритетнее. Канон Bokhtar независимо от город/район (Курган-Тюбе тоже→Bokhtar).
ВМКБ,region,,TJ-GB,VMKB = Viloyati Mukhtori Kuhistoni Badakhshon = GBAO.
Ванч,district,Vanj,TJ-GB,"Vanj district, GBAO. Confirmed."
Варзоб,district,Varzob,TJ-RA,"Varzob district, RRP. Confirmed."
Вахдат,district,Vahdat,TJ-RA,"Vahdat district (former Kofarnihon/Ordzhonikidzeabad), RRP. Confirmed."
